,date,beef
0,1944-01-01,751.0
1,1944-02-01,713.0
2,1944-03-01,741.0
3,1944-04-01,650.0
4,1944-05-01,681.0
5,1944-06-01,658.0
6,1944-07-01,662.0
7,1944-08-01,787.0
8,1944-09-01,774.0
9,1944-10-01,834.0
10,1944-11-01,786.0
11,1944-12-01,764.0
12,1945-01-01,820.0
13,1945-02-01,816.0
14,1945-03-01,836.0
15,1945-04-01,736.0
16,1945-05-01,747.0
17,1945-06-01,739.0
18,1945-07-01,736.0
19,1945-08-01,858.0
20,1945-09-01,910.0
21,1945-10-01,1022.0
22,1945-11-01,933.0
23,1945-12-01,783.0
24,1946-01-01,856.0
25,1946-02-01,827.0
26,1946-03-01,796.0
27,1946-04-01,734.0
28,1946-05-01,605.0
29,1946-06-01,461.0
30,1946-07-01,954.0
31,1946-08-01,871.0
32,1946-09-01,366.0
33,1946-10-01,840.0
34,1946-11-01,844.0
35,1946-12-01,856.0
36,1947-01-01,935.0
37,1947-02-01,778.0
38,1947-03-01,829.0
39,1947-04-01,831.0
40,1947-05-01,846.0
41,1947-06-01,804.0
42,1947-07-01,839.0
43,1947-08-01,766.0
44,1947-09-01,888.0
45,1947-10-01,924.0
46,1947-11-01,813.0
47,1947-12-01,843.0
48,1948-01-01,856.0
49,1948-02-01,662.0
50,1948-03-01,727.0
51,1948-04-01,700.0
52,1948-05-01,650.0
53,1948-06-01,733.0
54,1948-07-01,681.0
55,1948-08-01,705.0
56,1948-09-01,773.0
57,1948-10-01,752.0
58,1948-11-01,744.0
59,1948-12-01,783.0
60,1949-01-01,779.0
61,1949-02-01,697.0
62,1949-03-01,794.0
63,1949-04-01,721.0
64,1949-05-01,747.0
65,1949-06-01,765.0
66,1949-07-01,743.0
67,1949-08-01,835.0
68,1949-09-01,821.0
69,1949-10-01,772.0
70,1949-11-01,751.0
71,1949-12-01,717.0
72,1950-01-01,780.0
73,1950-02-01,676.0
74,1950-03-01,775.0
75,1950-04-01,694.0
76,1950-05-01,774.0
77,1950-06-01,753.0
78,1950-07-01,754.0
79,1950-08-01,829.0
80,1950-09-01,832.0
81,1950-10-01,814.0
82,1950-11-01,794.0
83,1950-12-01,773.0
84,1951-01-01,842.0
85,1951-02-01,650.0
86,1951-03-01,696.0
87,1951-04-01,658.0
88,1951-05-01,716.0
89,1951-06-01,591.0
90,1951-07-01,676.0
91,1951-08-01,767.0
92,1951-09-01,697.0
93,1951-10-01,789.0
94,1951-11-01,768.0
95,1951-12-01,699.0
96,1952-01-01,810.0
97,1952-02-01,721.0
98,1952-03-01,685.0
99,1952-04-01,703.0
100,1952-05-01,742.0
101,1952-06-01,698.0
102,1952-07-01,786.0
103,1952-08-01,793.0
104,1952-09-01,841.0
105,1952-10-01,933.0
106,1952-11-01,768.0
107,1952-12-01,857.0
108,1953-01-01,926.0
109,1953-02-01,849.0
110,1953-03-01,931.0
111,1953-04-01,989.0
112,1953-05-01,961.0
113,1953-06-01,999.0
114,1953-07-01,1034.0
115,1953-08-01,1007.0
116,1953-09-01,1085.0
117,1953-10-01,1144.0
118,1953-11-01,1037.0
119,1953-12-01,1093.0
120,1954-01-01,1076.0
121,1954-02-01,921.0
122,1954-03-01,1068.0
123,1954-04-01,988.0
124,1954-05-01,1007.0
125,1954-06-01,1066.0
126,1954-07-01,1078.0
127,1954-08-01,1080.0
128,1954-09-01,1098.0
129,1954-10-01,1086.0
130,1954-11-01,1059.0
131,1954-12-01,1074.0
132,1955-01-01,1073.0
133,1955-02-01,924.0
134,1955-03-01,1084.0
135,1955-04-01,1013.0
136,1955-05-01,1075.0
137,1955-06-01,1144.0
138,1955-07-01,1045.0
139,1955-08-01,1227.0
140,1955-09-01,1206.0
141,1955-10-01,1172.0
142,1955-11-01,1136.0
143,1955-12-01,1114.0
144,1956-01-01,1231.0
145,1956-02-01,1087.0
146,1956-03-01,1131.0
147,1956-04-01,1122.0
148,1956-05-01,1194.0
149,1956-06-01,1172.0
150,1956-07-01,1198.0
151,1956-08-01,1202.0
152,1956-09-01,1105.0
153,1956-10-01,1304.0
154,1956-11-01,1201.0
155,1956-12-01,1143.0
156,1957-01-01,1326.0
157,1957-02-01,1082.0
158,1957-03-01,1099.0
159,1957-04-01,1085.0
160,1957-05-01,1203.0
161,1957-06-01,1086.0
162,1957-07-01,1220.0
163,1957-08-01,1196.0
164,1957-09-01,1151.0
165,1957-10-01,1268.0
166,1957-11-01,1072.0
167,1957-12-01,1064.0
168,1958-01-01,1211.0
169,1958-02-01,960.0
170,1958-03-01,985.0
171,1958-04-01,1023.0
172,1958-05-01,1062.0
173,1958-06-01,1078.0
174,1958-07-01,1148.0
175,1958-08-01,1079.0
176,1958-09-01,1148.0
177,1958-10-01,1220.0
178,1958-11-01,978.0
179,1958-12-01,1091.0
180,1959-01-01,1127.0
181,1959-02-01,946.0
182,1959-03-01,1029.0
183,1959-04-01,1099.0
184,1959-05-01,1071.0
185,1959-06-01,1109.0
186,1959-07-01,1166.0
187,1959-08-01,1083.0
188,1959-09-01,1177.0
189,1959-10-01,1186.0
190,1959-11-01,1080.0
191,1959-12-01,1160.0
192,1960-01-01,1196.0
193,1960-02-01,1089.0
194,1960-03-01,1201.0
195,1960-04-01,1066.0
196,1960-05-01,1202.0
197,1960-06-01,1247.0
198,1960-07-01,1166.0
199,1960-08-01,1307.0
200,1960-09-01,1298.0
201,1960-10-01,1263.0
202,1960-11-01,1190.0
203,1960-12-01,1149.0
204,1961-01-01,1235.0
205,1961-02-01,1086.0
206,1961-03-01,1242.0
207,1961-04-01,1137.0
208,1961-05-01,1321.0
209,1961-06-01,1333.0
210,1961-07-01,1223.0
211,1961-08-01,1344.0
212,1961-09-01,1267.0
213,1961-10-01,1336.0
214,1961-11-01,1237.0
215,1961-12-01,1169.0
216,1962-01-01,1327.0
217,1962-02-01,1111.0
218,1962-03-01,1232.0
219,1962-04-01,1141.0
220,1962-05-01,1312.0
221,1962-06-01,1275.0
222,1962-07-01,1284.0
223,1962-08-01,1343.0
224,1962-09-01,1194.0
225,1962-10-01,1357.0
226,1962-11-01,1209.0
227,1962-12-01,1146.0
228,1963-01-01,1346.0
229,1963-02-01,1171.0
230,1963-03-01,1276.0
231,1963-04-01,1304.0
232,1963-05-01,1404.0
233,1963-06-01,1311.0
234,1963-07-01,1370.0
235,1963-08-01,1397.0
236,1963-09-01,1342.0
237,1963-10-01,1513.0
238,1963-11-01,1299.0
239,1963-12-01,1316.0
240,1964-01-01,1512.0
241,1964-02-01,1301.0
242,1964-03-01,1414.0
243,1964-04-01,1515.0
244,1964-05-01,1511.0
245,1964-06-01,1589.0
246,1964-07-01,1545.0
