,date,pork
0,1944-01-01,1280.0
1,1944-02-01,1169.0
2,1944-03-01,1128.0
3,1944-04-01,978.0
4,1944-05-01,1029.0
5,1944-06-01,962.0
6,1944-07-01,796.0
7,1944-08-01,748.0
8,1944-09-01,678.0
9,1944-10-01,777.0
10,1944-11-01,944.0
11,1944-12-01,1013.0
12,1945-01-01,1037.0
13,1945-02-01,724.0
14,1945-03-01,723.0
15,1945-04-01,651.0
16,1945-05-01,682.0
17,1945-06-01,674.0
18,1945-07-01,610.0
19,1945-08-01,531.0
20,1945-09-01,535.0
21,1945-10-01,628.0
22,1945-11-01,945.0
23,1945-12-01,1103.0
24,1946-01-01,1051.0
25,1946-02-01,966.0
26,1946-03-01,780.0
27,1946-04-01,846.0
28,1946-05-01,810.0
29,1946-06-01,505.0
30,1946-07-01,903.0
31,1946-08-01,601.0
32,1946-09-01,124.0
33,1946-10-01,662.0
34,1946-11-01,1010.0
35,1946-12-01,962.0
36,1947-01-01,1054.0
37,1947-02-01,709.0
38,1947-03-01,606.0
39,1947-04-01,656.0
40,1947-05-01,678.0
41,1947-06-01,667.0
42,1947-07-01,661.0
43,1947-08-01,534.0
44,1947-09-01,549.0
45,1947-10-01,700.0
46,1947-11-01,932.0
47,1947-12-01,1065.0
48,1948-01-01,929.0
49,1948-02-01,679.0
50,1948-03-01,672.0
51,1948-04-01,629.0
52,1948-05-01,653.0
53,1948-06-01,774.0
54,1948-07-01,576.0
55,1948-08-01,463.0
56,1948-09-01,514.0
57,1948-10-01,690.0
58,1948-11-01,896.0
59,1948-12-01,1011.0
60,1949-01-01,915.0
61,1949-02-01,701.0
62,1949-03-01,737.0
63,1949-04-01,647.0
64,1949-05-01,630.0
65,1949-06-01,657.0
66,1949-07-01,584.0
67,1949-08-01,605.0
68,1949-09-01,637.0
69,1949-10-01,764.0
70,1949-11-01,957.0
71,1949-12-01,1041.0
72,1950-01-01,965.0
73,1950-02-01,699.0
74,1950-03-01,807.0
75,1950-04-01,702.0
76,1950-05-01,716.0
77,1950-06-01,718.0
78,1950-07-01,617.0
79,1950-08-01,633.0
80,1950-09-01,667.0
81,1950-10-01,806.0
82,1950-11-01,978.0
83,1950-12-01,1089.0
84,1951-01-01,1085.0
85,1951-02-01,720.0
86,1951-03-01,837.0
87,1951-04-01,813.0
88,1951-05-01,798.0
89,1951-06-01,798.0
90,1951-07-01,686.0
91,1951-08-01,753.0
92,1951-09-01,715.0
93,1951-10-01,885.0
94,1951-11-01,1023.0
95,1951-12-01,1077.0
96,1952-01-01,1130.0
97,1952-02-01,945.0
98,1952-03-01,924.0
99,1952-04-01,839.0
100,1952-05-01,736.0
101,1952-06-01,727.0
102,1952-07-01,653.0
103,1952-08-01,637.0
104,1952-09-01,720.0
105,1952-10-01,894.0
106,1952-11-01,937.0
107,1952-12-01,1179.0
108,1953-01-01,1029.0
109,1953-02-01,759.0
110,1953-03-01,809.0
111,1953-04-01,714.0
112,1953-05-01,619.0
113,1953-06-01,644.0
114,1953-07-01,597.0
115,1953-08-01,582.0
116,1953-09-01,664.0
117,1953-10-01,793.0
118,1953-11-01,888.0
119,1953-12-01,873.0
120,1954-01-01,809.0
121,1954-02-01,656.0
122,1954-03-01,770.0
123,1954-04-01,661.0
124,1954-05-01,616.0
125,1954-06-01,649.0
126,1954-07-01,596.0
127,1954-08-01,641.0
128,1954-09-01,757.0
129,1954-10-01,818.0
130,1954-11-01,947.0
131,1954-12-01,1012.0
132,1955-01-01,939.0
133,1955-02-01,771.0
134,1955-03-01,905.0
135,1955-04-01,744.0
