,date,veal
0,1944-01-01,85.0
1,1944-02-01,77.0
2,1944-03-01,90.0
3,1944-04-01,89.0
4,1944-05-01,106.0
5,1944-06-01,125.0
6,1944-07-01,142.0
7,1944-08-01,175.0
8,1944-09-01,182.0
9,1944-10-01,215.0
10,1944-11-01,197.0
11,1944-12-01,146.0
12,1945-01-01,119.0
13,1945-02-01,97.0
14,1945-03-01,107.0
15,1945-04-01,98.0
16,1945-05-01,103.0
17,1945-06-01,110.0
18,1945-07-01,117.0
19,1945-08-01,145.0
20,1945-09-01,164.0
21,1945-10-01,201.0
22,1945-11-01,173.0
23,1945-12-01,118.0
24,1946-01-01,101.0
25,1946-02-01,85.0
26,1946-03-01,92.0
27,1946-04-01,91.0
28,1946-05-01,83.0
29,1946-06-01,78.0
30,1946-07-01,140.0
31,1946-08-01,138.0
32,1946-09-01,98.0
33,1946-10-01,167.0
34,1946-11-01,142.0
35,1946-12-01,114.0
36,1947-01-01,113.0
37,1947-02-01,93.0
38,1947-03-01,104.0
39,1947-04-01,108.0
40,1947-05-01,110.0
41,1947-06-01,118.0
42,1947-07-01,136.0
43,1947-08-01,131.0
44,1947-09-01,154.0
45,1947-10-01,163.0
46,1947-11-01,145.0
47,1947-12-01,118.0
48,1948-01-01,106.0
49,1948-02-01,87.0
50,1948-03-01,99.0
51,1948-04-01,101.0
52,1948-05-01,97.0
53,1948-06-01,118.0
54,1948-07-01,116.0
55,1948-08-01,121.0
56,1948-09-01,127.0
57,1948-10-01,126.0
58,1948-11-01,119.0
59,1948-12-01,106.0
60,1949-01-01,91.0
61,1949-02-01,82.0
62,1949-03-01,98.0
63,1949-04-01,91.0
64,1949-05-01,92.0
65,1949-06-01,103.0
66,1949-07-01,103.0
67,1949-08-01,123.0
68,1949-09-01,121.0
69,1949-10-01,120.0
70,1949-11-01,119.0
71,1949-12-01,97.0
72,1950-01-01,87.0
73,1950-02-01,80.0
74,1950-03-01,96.0
75,1950-04-01,87.0
76,1950-05-01,93.0
77,1950-06-01,97.0
78,1950-07-01,97.0
79,1950-08-01,108.0
80,1950-09-01,107.0
81,1950-10-01,105.0
82,1950-11-01,98.0
83,1950-12-01,82.0
84,1951-01-01,81.0
85,1951-02-01,66.0
86,1951-03-01,73.0
87,1951-04-01,67.0
88,1951-05-01,71.0
89,1951-06-01,78.0
90,1951-07-01,86.0
91,1951-08-01,98.0
92,1951-09-01,87.0
93,1951-10-01,106.0
94,1951-11-01,91.0
95,1951-12-01,68.0
96,1952-01-01,75.0
97,1952-02-01,66.0
98,1952-03-01,70.0
99,1952-04-01,71.0
100,1952-05-01,77.0
101,1952-06-01,83.0
102,1952-07-01,94.0
103,1952-08-01,100.0
104,1952-09-01,111.0
105,1952-10-01,128.0
106,1952-11-01,105.0
107,1952-12-01,100.0
108,1953-01-01,91.0
109,1953-02-01,80.0
110,1953-03-01,94.0
111,1953-04-01,102.0
112,1953-05-01,107.0
113,1953-06-01,128.0
114,1953-07-01,138.0
115,1953-08-01,142.0
116,1953-09-01,152.0
117,1953-10-01,162.0
118,1953-11-01,133.0
119,1953-12-01,122.0
120,1954-01-01,111.0
121,1954-02-01,99.0
122,1954-03-01,121.0
123,1954-04-01,111.0
124,1954-05-01,115.0
125,1954-06-01,138.0
126,1954-07-01,143.0
127,1954-08-01,149.0
128,1954-09-01,154.0
129,1954-10-01,153.0
130,1954-11-01,134.0
131,1954-12-01,123.0
132,1955-01-01,114.0
133,1955-02-01,100.0
134,1955-03-01,119.0
135,1955-04-01,109.0
